year,month,date,state_name,cases_new,cases_retreated,rifampicin_resistant_new,rifampicin_resistant_retreated,data_type,note
2017,1,2017-01-01,Andhra Pradesh,832728,124836,74726,10544,synthetic_demo,Synthetic data for framework demonstration only
2017,2,2017-02-01,Andhra Pradesh,775217,113329,68195,9622,synthetic_demo,Synthetic data for framework demonstration only
2017,3,2017-03-01,Andhra Pradesh,634395,112088,63625,8357,synthetic_demo,Synthetic data for framework demonstration only
2017,4,2017-04-01,Andhra Pradesh,603891,64834,51314,6378,synthetic_demo,Synthetic data for framework demonstration only
2017,5,2017-05-01,Andhra Pradesh,579984,85165,49915,7968,synthetic_demo,Synthetic data for framework demonstration only
2017,6,2017-06-01,Andhra Pradesh,647366,85127,53902,6667,synthetic_demo,Synthetic data for framework demonstration only
2017,7,2017-07-01,Andhra Pradesh,638790,76422,65776,7235,synthetic_demo,Synthetic data for framework demonstration only
2017,8,2017-08-01,Andhra Pradesh,807428,97301,70308,7817,synthetic_demo,Synthetic data for framework demonstration only
2017,9,2017-09-01,Andhra Pradesh,834609,107114,74976,9757,synthetic_demo,Synthetic data for framework demonstration only
2017,10,2017-10-01,Andhra Pradesh,917958,128825,91567,13102,synthetic_demo,Synthetic data for framework demonstration only
2017,11,2017-11-01,Andhra Pradesh,897676,100608,85561,8555,synthetic_demo,Synthetic data for framework demonstration only
2017,12,2017-12-01,Andhra Pradesh,869531,118600,91912,9859,synthetic_demo,Synthetic data for framework demonstration only
2018,1,2018-01-01,Andhra Pradesh,872470,87590,76518,8371,synthetic_demo,Synthetic data for framework demonstration only
2018,2,2018-02-01,Andhra Pradesh,825872,84171,65266,6881,synthetic_demo,Synthetic data for framework demonstration only
2018,3,2018-03-01,Andhra Pradesh,689779,92262,59366,8206,synthetic_demo,Synthetic data for framework demonstration only
2018,4,2018-04-01,Andhra Pradesh,606820,94382,54054,8598,synthetic_demo,Synthetic data for framework demonstration only
2018,5,2018-05-01,Andhra Pradesh,592094,63342,48035,5763,synthetic_demo,Synthetic data for framework demonstration only
2018,6,2018-06-01,Andhra Pradesh,588156,75394,54299,5908,synthetic_demo,Synthetic data for framework demonstration only
2018,7,2018-07-01,Andhra Pradesh,715086,77220,59245,7556,synthetic_demo,Synthetic data for framework demonstration only
2018,8,2018-08-01,Andhra Pradesh,754211,102682,66686,9551,synthetic_demo,Synthetic data for framework demonstration only
2018,9,2018-09-01,Andhra Pradesh,859977,102143,78700,10592,synthetic_demo,Synthetic data for framework demonstration only
2018,10,2018-10-01,Andhra Pradesh,891083,94700,87106,9867,synthetic_demo,Synthetic data for framework demonstration only
2018,11,2018-11-01,Andhra Pradesh,891127,136907,93732,11201,synthetic_demo,Synthetic data for framework demonstration only
2018,12,2018-12-01,Andhra Pradesh,926575,97793,84621,9178,synthetic_demo,Synthetic data for framework demonstration only
2019,1,2019-01-01,Andhra Pradesh,783047,107426,78527,10086,synthetic_demo,Synthetic data for framework demonstration only
2019,2,2019-02-01,Andhra Pradesh,747770,91295,63529,8492,synthetic_demo,Synthetic data for framework demonstration only
2019,3,2019-03-01,Andhra Pradesh,708663,103081,67219,8818,synthetic_demo,Synthetic data for framework demonstration only
2019,4,2019-04-01,Andhra Pradesh,561368,85400,59732,8194,synthetic_demo,Synthetic data for framework demonstration only
2019,5,2019-05-01,Andhra Pradesh,536295,76372,46337,6159,synthetic_demo,Synthetic data for framework demonstration only
2019,6,2019-06-01,Andhra Pradesh,584835,86288,56472,8216,synthetic_demo,Synthetic data for framework demonstration only
2019,7,2019-07-01,Andhra Pradesh,714147,107317,60338,9180,synthetic_demo,Synthetic data for framework demonstration only
2019,8,2019-08-01,Andhra Pradesh,763003,93478,69002,7649,synthetic_demo,Synthetic data for framework demonstration only
2019,9,2019-09-01,Andhra Pradesh,811589,120504,84068,10991,synthetic_demo,Synthetic data for framework demonstration only
2019,10,2019-10-01,Andhra Pradesh,1029991,139561,83098,11649,synthetic_demo,Synthetic data for framework demonstration only
2019,11,2019-11-01,Andhra Pradesh,996125,128510,83912,10837,synthetic_demo,Synthetic data for framework demonstration only
2019,12,2019-12-01,Andhra Pradesh,869007,104114,80706,9087,synthetic_demo,Synthetic data for framework demonstration only
2020,1,2020-01-01,Andhra Pradesh,892221,111961,69058,9456,synthetic_demo,Synthetic data for framework demonstration only
2020,2,2020-02-01,Andhra Pradesh,714388,87737,74633,7915,synthetic_demo,Synthetic data for framework demonstration only
2020,3,2020-03-01,Andhra Pradesh,625274,85149,56344,8910,synthetic_demo,Synthetic data for framework demonstration only
2020,4,2020-04-01,Andhra Pradesh,613597,76631,52833,7159,synthetic_demo,Synthetic data for framework demonstration only
2020,5,2020-05-01,Andhra Pradesh,578451,94147,47961,6926,synthetic_demo,Synthetic data for framework demonstration only
2020,6,2020-06-01,Andhra Pradesh,619612,76423,50088,6384,synthetic_demo,Synthetic data for framework demonstration only
2020,7,2020-07-01,Andhra Pradesh,706874,108901,60123,8519,synthetic_demo,Synthetic data for framework demonstration only
2020,8,2020-08-01,Andhra Pradesh,818626,79275,73650,7143,synthetic_demo,Synthetic data for framework demonstration only
2020,9,2020-09-01,Andhra Pradesh,947542,87297,73594,7986,synthetic_demo,Synthetic data for framework demonstration only
2020,10,2020-10-01,Andhra Pradesh,848103,104258,81666,9880,synthetic_demo,Synthetic data for framework demonstration only
2020,11,2020-11-01,Andhra Pradesh,937151,112891,89589,8578,synthetic_demo,Synthetic data for framework demonstration only
2020,12,2020-12-01,Andhra Pradesh,856263,125994,86685,12680,synthetic_demo,Synthetic data for framework demonstration only
2021,1,2021-01-01,Andhra Pradesh,787578,114442,71011,10881,synthetic_demo,Synthetic data for framework demonstration only
2021,2,2021-02-01,Andhra Pradesh,726464,93277,74641,7463,synthetic_demo,Synthetic data for framework demonstration only
2021,3,2021-03-01,Andhra Pradesh,706483,104005,56426,9457,synthetic_demo,Synthetic data for framework demonstration only
2021,4,2021-04-01,Andhra Pradesh,560372,73499,55451,6641,synthetic_demo,Synthetic data for framework demonstration only
2021,5,2021-05-01,Andhra Pradesh,570717,65884,54420,4970,synthetic_demo,Synthetic data for framework demonstration only
2021,6,2021-06-01,Andhra Pradesh,589471,85598,56356,7708,synthetic_demo,Synthetic data for framework demonstration only
