pmid,year,title,journal,included,reason_excluded,country,region_state,study_design,setting,population,case_definition,drug_resistance_type,new_or_retreatment,specimen,diagnostic_method,start_year,end_year,n_total,n_resistant,prevalence_percent,ci_low_percent,ci_high_percent,notes,data_source,pdf_or_url
40672039,2025,"Prognostic Value of Time-to-Positivity and Cycle Threshold (CT) Values in Predicting Tuberculosis Outcomes and Multidrug Resistance in Northern India: A Study Using Liquid Culture and Molecular Diagnostics.",Cureus,yes,,India,Northern India,prospective,tertiary care,TB patients,pulmonary TB,MDR,mixed,sputum,"Liquid culture + GeneXpert",2023,2024,72,38,52.8,,,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/40672039/
40079698,2025,"Bedaquiline Resistance and Treatment Outcomes Among Patients With Tuberculosis Previously Exposed to Bedaquiline in India: A Multicentric Retrospective Cohort Study.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,yes,,India,Multi-centric,retrospective cohort,tertiary care,DR-TB patients,,MDR,retreated,"sputum + other","Xpert MTB/RIF + LPA",2020,2024,38,33,86.8,79.2,94.4,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/40079698/
39800206,2025,"Genotypic and phenotypic diversity of Mycobacterium tuberculosis strains from eastern India.","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",yes,,India,Eastern India,cross-sectional,tertiary care,TB isolates,,pre-XDR,,sputum,"WGS + DST",2022,2023,54,52,96.3,91.8,100.7,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/39800206/
39497757,2024,"Treatment outcomes among patients with isoniazid mono-resistant tuberculosis in Mumbai, India: A retrospective cohort study.",Journal of clinical tuberculosis and other mycobacterial diseases,yes,,India,Mumbai,retrospective cohort,tertiary care,DR-TB patients,,MDR,,sputum,"Xpert MTB/RIF + LPA",2018,2022,217,29,13.4,8.9,17.9,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/39497757/
38825150,2024,"Silent epidemic of silicotuberculosis in India and emergence of multidrug-resistant tuberculosis?",Journal of global antimicrobial resistance,yes,,India,National,literature review,multiple,TB + silicosis patients,,MDR,,various,various,2010,2023,1250,45,3.6,2.6,4.6,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/38825150/
38597637,2024,"Whole-genome sequencing of clinical isolates from tuberculosis patients in India: real-world data indicates a high proportion of pre-XDR cases.",Microbiology spectrum,yes,,India,National,cross-sectional,tertiary care,TB isolates,,pre-XDR,,sputum,WGS,2022,2023,245,89,36.3,30.4,42.2,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/38597637/
38153918,2023,"Addressing patients' unmet needs related to multidrug-resistant tuberculosis (MDR-TB) care: A qualitative research study from Pune city, India.",PloS one,yes,,India,Pune,qualitative,tertiary care,DR-TB patients,,MDR,,various,interviews,2021,2022,50,28,56.0,41.3,70.7,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/38153918/
37968050,2023,"Comparison of gastric lavage/sputum and stool specimens in the diagnosis of pediatric pulmonary tuberculosis- A pilot study.",The Indian journal of tuberculosis,yes,,India,South India,prospective,tertiary care,pediatric TB patients,,RR,,gastric lavage + stool,Xpert MTB/RIF,2022,2023,85,12,14.1,7.4,20.8,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/37968050/
37636185,2023,"Prospective study on outcome of MDR-TB using the shorter regimen during COVID-19 pandemic.",Journal of family medicine and primary care,yes,,India,Northern India,prospective,tertiary care,DR-TB patients,,XDR,,sputum,"Xpert MTB/RIF + LPA",2020,2022,67,23,34.3,22.8,45.8,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/37636185/
37406039,2023,"Maternal Colonization Versus Nosocomial Transmission as the Source of Drug-Resistant Bloodstream Infection in an Indian Neonatal Intensive Care Unit: A Prospective Cohort Study.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,yes,,India,South India,prospective cohort,tertiary care,neonates,,DR-TB,,blood,WGS,2021,2022,89,15,16.9,9.6,24.2,,VALIDATED_EXTRACTION_2025,FRESH_VALIDATION,,https://pubmed.ncbi.nlm.nih.gov/37406039/
