Recipient code,Recipient name (EN),Recipient name (FR),ISOcode,Region,DAC_IncomeGroup,WB_Incomegroup,LandLocked,SIDS,FragileState
55,Türkiye,Türkiye,TUR,Europe,UMICs,WB-UM,0,0,0
57,Kosovo,Kosovo,XKX,Europe,UMICs,WB-UM,0,0,0
63,Serbia,Serbie,SRB,Europe,UMICs,WB-UM,0,0,0
64,Bosnia and Herzegovina,Bosnie-Herzégovine,BIH,Europe,UMICs,WB-UM,0,0,0
65,Montenegro,Monténégro,MNE,Europe,UMICs,WB-UM,0,0,0
66,North Macedonia,Macédoine du Nord,MKD,Europe,UMICs,WB-UM,1,0,0
71,Albania,Albanie,ALB,Europe,UMICs,WB-UM,0,0,0
85,Ukraine,Ukraine,UKR,Europe,LMICs,WB-LM,0,0,0
86,Belarus,Bélarus,BLR,Europe,UMICs,WB-UM,0,0,0
88,States Ex-Yugoslavia unspecified,Etats ex-Yougoslavie non spécifié,,Europe,Part I unallocated by income,,0,0,0
89,"Europe, regional","Europe, régional",,Europe,Part I unallocated by income,,0,0,0
93,Moldova,Moldova,MDA,Europe,UMICs,WB-UM,1,0,0
130,Algeria,Algérie,DZA,North of Sahara,LMICs,WB-LM,0,0,0
133,Libya,Libye,LBY,North of Sahara,UMICs,WB-UM,0,0,1
136,Morocco,Maroc,MAR,North of Sahara,LMICs,WB-LM,0,0,0
139,Tunisia,Tunisie,TUN,North of Sahara,LMICs,WB-LM,0,0,0
142,Egypt,Egypte,EGY,North of Sahara,LMICs,WB-LM,0,0,0
189,"North of Sahara, regional","Nord du Sahara, régional",,North of Sahara,Part I unallocated by income,,0,0,0
218,South Africa,Afrique du Sud,ZAF,Southern Africa,UMICs,WB-UM,0,0,0
225,Angola,Angola,AGO,Middle Africa,LDCs,WB-LM,0,0,1
227,Botswana,Botswana,BWA,Southern Africa,UMICs,WB-UM,1,0,0
228,Burundi,Burundi,BDI,Eastern Africa,LDCs,WB-L,1,0,1
229,Cameroon,Cameroun,CMR,Middle Africa,LMICs,WB-LM,0,0,1
230,Cabo Verde,Cabo Verde,CPV,Western Africa,LMICs,WB-LM,0,1,0
231,Central African Republic,République centrafricaine,CAF,Middle Africa,LDCs,WB-L,1,0,1
232,Chad,Tchad,TCD,Middle Africa,LDCs,WB-L,1,0,1
233,Comoros,Comores,COM,Eastern Africa,LDCs,WB-LM,0,1,1
234,Congo,Congo,COG,Middle Africa,LMICs,WB-LM,0,0,1
235,Democratic Republic of the Congo,République démocratique du Congo,COD,Middle Africa,LDCs,WB-L,0,0,1
