Country territory or area;Years of data in the WHO mortality database;Quality;Years of data used to compute the GHE;Completeness (ages 15 and over) Minimum;Completeness (ages 15 and over) Maximum;Usability Minimum;Usability Maximum;Were data used for GHE?;Reason data or data-years were excluded;Notes
Albania;1998-2010;low;;100%;100%;;;no;Low quality;
Antigua and Barbuda;1998-2021;medium;1998-2021;94%;100%;65%;84%;yes;;
Argentina;1998-2021;medium;1998-2021;100%;100%;66%;75%;yes;;
Armenia;1998-2003, 2006-2021;high;1998-2003, 2006-2021;100%;100%;80%;95%;yes;;d, e
Australia;1998-2004, 2006-2021;high;1998-2004, 2006-2021;100%;100%;90%;92%;yes;;
Austria;1998-2021;high;1998-2021;100%;100%;84%;90%;yes;;
Azerbaijan;1998-2004, 2007;very low;;82%;79%;45%;45%;no;Low quality;
Bahamas;1998-2015;medium;;83%;81%;65%;76%;no;High HIV;
Bahrain;1998-2014;low;;69%;72%;37%;46%;no;Low quality;
Barbados;2000-2013;low;;100%;100%;70%;84%;no;Low quality;
Belarus;1998-2003, 2007-2011, 2013-2014, 2018;high;;100%;100%;90%;90%;no;Fewer than five years by ICD code;
Belgium;1998-2020;high;1998-2020;100%;100%;81%;85%;yes;;
Belize;1998-2016;high;;100%;92%;68%;91%;no;High HIV;
Bolivia (Plurinational State of);2000-2003;very low;;55%;56%;19%;24%;no;Low quality;
Bosnia and Herzegovina;2011, 2014, 2016-2021;medium;;90%;100%;64%;75%;no;Insufficient trend data;
Brazil;1998-2021;high;1998-2021;100%;100%;73%;86%;yes;;
Brunei Darussalam;1998-2019;high;1998-2019;100%;98%;86%;88%;yes;;d
Bulgaria;1998-2021;medium;1998-2021;100%;100%;65%;80%;yes;;d, e
Cabo Verde;2011-2012;low;;100%;100%;69%;71%;no;Low quality;
Canada;1998-2021;high;1998-2021;100%;100%;90%;92%;yes;;
Chile;1998-2021;high;1998-2021;100%;100%;86%;91%;yes;;
Colombia;1998-2021;high;1998-2021;100%;100%;88%;94%;yes;;
Costa Rica;1998-2020;high;1998-2020;99%;100%;89%;93%;yes;;
Croatia;1998-2021;high;1998-2021;100%;100%;81%;93%;yes;;
Cuba;1998-2021;high;2000-2021;100%;100%;89%;93%;yes;Unusable ICD version or shortlist;
Cyprus;1999-2000, 2004-2021;high;2004-2021;100%;100%;70%;87%;yes;Data not available by 5-year age group;
Czech Republic;1998-2021;high;1998-2021;100%;100%;83%;89%;yes;;
Denmark;1998-2021;high;1998-2021;100%;100%;82%;86%;yes;;
