region,sex,year,ghecause,causename,deaths,rank_deaths
1_Afr,1,2000,100,HIV/AIDS,535148.0252,1
1_Afr,1,2000,390,Lower respiratory infections,452003.6716,2
1_Afr,1,2000,30,Tuberculosis,438081.657,3
1_Afr,1,2000,220,Malaria,409714.7686,4
1_Afr,1,2000,110,Diarrhoeal diseases,396663.4201,5
1_Afr,1,2000,500,Preterm birth complications,200867.536,6
1_Afr,1,2000,1140,Stroke,164301.4043,7
1_Afr,1,2000,150,Measles,162888.4833,8
1_Afr,1,2000,510,Birth asphyxia and birth trauma,155718.7315,9
1_Afr,1,2000,1530,Road injury,119159.3878,10
1_Afr,1,2000,1130,Ischaemic heart disease,116795.9408,11
1_Afr,1,2000,170,Meningitis,99387.34388,12
1_Afr,1,2000,1230,Cirrhosis of the liver,77704.85085,13
1_Afr,1,2000,550,Protein-energy malnutrition,73557.33139,14
1_Afr,1,2000,1630,Collective violence and legal intervention,68495.09824,15
1_Afr,1,2019,390,Lower respiratory infections,420304.4356,1
1_Afr,1,2019,30,Tuberculosis,324371.5468,2
1_Afr,1,2019,220,Malaria,285724.3758,3
1_Afr,1,2019,110,Diarrhoeal diseases,275880.7052,4
1_Afr,1,2019,100,HIV/AIDS,233664.7884,5
1_Afr,1,2019,1140,Stroke,230589.3762,6
1_Afr,1,2019,500,Preterm birth complications,216364.1307,7
1_Afr,1,2019,1130,Ischaemic heart disease,189456.2289,8
1_Afr,1,2019,510,Birth asphyxia and birth trauma,162066.2551,9
1_Afr,1,2019,1530,Road injury,155067.1856,10
1_Afr,1,2019,1230,Cirrhosis of the liver,111491.214,11
1_Afr,1,2019,800,Diabetes mellitus,88860.42105,12
1_Afr,1,2019,1270,Kidney diseases,88207.08993,13
1_Afr,1,2019,1620,Interpersonal violence,83939.87097,14
1_Afr,1,2019,1400,Congenital anomalies,75081.80948,15
1_Afr,1,2020,390,Lower respiratory infections,412312.6328,1
1_Afr,1,2020,30,Tuberculosis,318231.8154,2
1_Afr,1,2020,220,Malaria,311797.448,3
1_Afr,1,2020,110,Diarrhoeal diseases,269543.7263,4
1_Afr,1,2020,1140,Stroke,251017.2436,5
1_Afr,1,2020,100,HIV/AIDS,218469.6919,6
1_Afr,1,2020,500,Preterm birth complications,215890.6344,7
1_Afr,1,2020,1130,Ischaemic heart disease,207204.4663,8
1_Afr,1,2020,510,Birth asphyxia and birth trauma,160948.5768,9
1_Afr,1,2020,1530,Road injury,146754.9246,10
1_Afr,1,2020,395,COVID-19,125811.5245,11
1_Afr,1,2020,1230,Cirrhosis of the liver,116976.8288,12
1_Afr,1,2020,800,Diabetes mellitus,96888.70792,13
1_Afr,1,2020,1270,Kidney diseases,94488.00224,14
1_Afr,1,2020,1620,Interpersonal violence,84404.37573,15
1_Afr,1,2021,390,Lower respiratory infections,410689.3005,1
1_Afr,1,2021,220,Malaria,300763.1676,2
1_Afr,1,2021,30,Tuberculosis,286581.0541,3
1_Afr,1,2021,395,COVID-19,279103.7416,4
1_Afr,1,2021,110,Diarrhoeal diseases,264865.6512,5
1_Afr,1,2021,1140,Stroke,241661.101,6
1_Afr,1,2021,500,Preterm birth complications,215763.0936,7
1_Afr,1,2021,1130,Ischaemic heart disease,205389.2273,8
1_Afr,1,2021,100,HIV/AIDS,198205.5184,9
1_Afr,1,2021,510,Birth asphyxia and birth trauma,160518.2656,10
1_Afr,1,2021,1530,Road injury,156155.7798,11
1_Afr,1,2021,1230,Cirrhosis of the liver,120483.0419,12
1_Afr,1,2021,800,Diabetes mellitus,94069.20095,13
1_Afr,1,2021,1270,Kidney diseases,93832.67941,14
1_Afr,1,2021,1620,Interpersonal violence,84977.72133,15
1_Afr,2,2000,100,HIV/AIDS,666099.2837,1
1_Afr,2,2000,220,Malaria,386865.1355,2
1_Afr,2,2000,390,Lower respiratory infections,370731.9745,3
1_Afr,2,2000,110,Diarrhoeal diseases,349718.6443,4
1_Afr,2,2000,30,Tuberculosis,341328.3767,5
1_Afr,2,2000,420,Maternal conditions,182144.4824,6
1_Afr,2,2000,150,Measles,167586.481,7
1_Afr,2,2000,1140,Stroke,161218.7291,8
1_Afr,2,2000,500,Preterm birth complications,161125.8216,9
1_Afr,2,2000,510,Birth asphyxia and birth trauma,124810.0395,10
1_Afr,2,2000,1130,Ischaemic heart disease,105457.0274,11
1_Afr,2,2000,170,Meningitis,81456.08999,12
1_Afr,2,2000,1120,Hypertensive heart disease,64391.96545,13
1_Afr,2,2000,550,Protein-energy malnutrition,64287.46486,14
1_Afr,2,2000,710,Cervix uteri cancer,56077.96335,15
1_Afr,2,2019,390,Lower respiratory infections,354253.294,1
1_Afr,2,2019,220,Malaria,268793.3671,2
1_Afr,2,2019,1140,Stroke,246284.9869,3
1_Afr,2,2019,110,Diarrhoeal diseases,232048.7893,4
1_Afr,2,2019,100,HIV/AIDS,229080.5165,5
1_Afr,2,2019,30,Tuberculosis,228242.508,6
1_Afr,2,2019,1130,Ischaemic heart disease,174137.6397,7
1_Afr,2,2019,500,Preterm birth complications,168007.6301,8
1_Afr,2,2019,420,Maternal conditions,140826.5212,9
1_Afr,2,2019,510,Birth asphyxia and birth trauma,126165.4017,10
1_Afr,2,2019,1120,Hypertensive heart disease,105187.4355,11
1_Afr,2,2019,800,Diabetes mellitus,91513.63872,12
1_Afr,2,2019,710,Cervix uteri cancer,81357.78432,13
1_Afr,2,2019,700,Breast cancer,72740.56654,14
1_Afr,2,2019,1270,Kidney diseases,71976.65059,15
1_Afr,2,2020,390,Lower respiratory infections,347235.485,1
1_Afr,2,2020,220,Malaria,295217.8525,2
1_Afr,2,2020,1140,Stroke,263944.8367,3
