COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NEW_ENROL_AVAIL,PERCENT-ALL,PERCENT-TIME_LT_5Y,PERCENT-TIME_5_15Y,PERCENT-TIME_GT_15Y,NUMERATOR-ALL,NUMERATOR-TIME_LT_5Y,NUMERATOR-TIME_5_15Y,NUMERATOR-TIME_GT_15Y,DENOMINATOR-ALL,DENOMINATOR-TIME_LT_5Y,DENOMINATOR-TIME_5_15Y,DENOMINATOR-TIME_GT_15Y,NEW_ENROL_AVAIL_2,PER_CUR_ENROL-ALL,PER_CUR_ENROL-TIME_LT_5Y,PER_CUR_ENROL-TIME_5_15Y,PER_CUR_ENROL-TIME_GT_15Y,NUM_CUR_ENROL-ALL,NUM_CUR_ENROL-TIME_LT_5Y,NUM_CUR_ENROL-TIME_5_15Y,NUM_CUR_ENROL-TIME_GT_15Y,DEN_CUR_ENROL-ALL,DEN_CUR_ENROL-TIME_LT_5Y,DEN_CUR_ENROL-TIME_5_15Y,DEN_CUR_ENROL-TIME_GT_15Y,TBL_ARV_TBT-ALL,TBL_ARV_TBT-TIME_LT_5Y,TBL_ARV_TBT-TIME_5_15Y,TBL_ARV_TBT-TIME_GT_15Y,include_in_csv_export
AFG,Eastern Mediterranean,South Asia,Asia and the Pacific,Afghanistan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),The program data.,2024-01-01,2024-12-31,,,published,"Date: 2025-05-28 12:31:25.666833
During the reporting period, a total of 290 people with HIV were newly enrolled; 290 of them 109 have taken TPT during the reporting period. and have received TPT 273  (New and Old) Patients during the reporting period.
--------
Date: 2025-05-27 10:05:25.446362
During the reporting period, a total of 290 people with HIV were newly enrolled; 290 of them 109 have taken TPT during the reporting period. and have received TPT 273  (New and Old) Patients during the reporting period.
--------
Date: 2025-03-27 05:46:07.209580
During the reporting period, a total of 290 people with HIV were newly enrolled; 290 of them 109 have taken TPT during the reporting period. and have received TPT 273  (New and Old) Patients during the reporting period.
--------
","Newly enrolled on antiretroviral therapy: The numerator and denominator do not correspond to its percentage.
Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.
Currently enrolled on antiretroviral therapy: The numerator and denominator do not correspond to its percentage.
The number of people living with HIV on ART that have received TB preventive treatment prior to this reporting period should be greater than the number of people living with HIV on ART who received TB preventive treatment in 2024. Please verify or provide an explanation.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART and the number of people living with HIV on ART disaggregated by age do not add to the total. Kindly verify. The number of people reported to have received TPT prior to the reporting period refers to the number of people who are currently on ART and received TPT in 2023 or earlier; the same number is currently reported for this item as the number of people on ART who received TPT in 2024, please verify.

NOOR MOHAMMAD SAMIM (MINISTRY) said on 27/05/25 at 08:05: The number of people living with HIV who were enrolled prior to the reporting period and received Tuberculosis Preventive Therapy (TPT) during 2024 is 164. Additionally, 109 people living with HIV who were newly enrolled during 2024 also received TPT within the same reporting period.

",Yes,38,20,30,39,109,2,3,104,290,8,11,271,Yes,19,14,18,19,273,3,13,257,1426,19,71,1336,164,1,10,153,Yes
AUS,Western Pacific,,Asia and the Pacific,Australia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
BGD,South-East Asia,South Asia,Asia and the Pacific,Bangladesh,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),Program Data,2024-01-01,2024-12-31,,,published,"Date: 2025-04-17 06:51:13.724654
No data available
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [842] seems to reflect an important change from the previous reporting period [91]. The number of people newly enrolled on ART reported [1409] seems to reflect an important change from the previous reporting period [1137]. Please can you explain the reason for this or revise the data accordingly. Please verify if data are available on the number of people currently on ART who received TB preventive treatment during the reporting period.

Md. Alauddin Chowdhury (OTHER) said on 29/05/25 at 07:13: Diagnosis case is increase that's way enrollment is increased.

",Yes,59.8,21.1,68.8,60.1,842,4,22,816,1409,19,32,1358,No,,,,,,,,,,,,,,,,,Yes
BTN,South-East Asia,South Asia,Asia and the Pacific,Bhutan,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
BRN,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Brunei Darussalam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
KHM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Cambodia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-23 10:07:16.790648
Confirm the change 
--------
Date: 2025-03-24 08:52:32.490868
Will check
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people living with HIV newly enrolled on HIV treatment reported for this indicator [5034] should be the same as the number of people living with HIV newly enrolled on HIV treatment reported for indicator 7.7 [4973]. Please verify.

Chanravuth Ly (OTHER) said on 23/05/25 at 08:05: The denominator has been changed to 4973 and the 15+ is also changed. Thank you

",Yes,56.7,6.9,12.5,57.3,2822,2,4,2816,4973,29,32,4912,Yes,7.7,18,9.2,7.7,5423,18,67,5338,69994,100,728,69166,54625,10,399,54216,Yes
CHN,Western Pacific,East Asia and the Pacific,Asia and the Pacific,China,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
COK,Western Pacific,,Asia and the Pacific,Cook Islands,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-04-01 16:15:14.579520
out of 3 PLHIV, 2 are on ART abroad (receive drugs), 1 enrolled in 2024 being on TB treatment
--------
",Some values are missing. Please explain.,,Yes,0,,,0,0,0,0,0,1,0,0,1,Yes,0,,,0,0,0,0,0,3,0,0,3,,,,,Yes
PRK,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Democratic People's Republic of Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
FJI,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Fiji,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
