COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NUMERATOR-TOTAL,include_in_csv_export
AFG,Eastern Mediterranean,South Asia,Asia and the Pacific,Afghanistan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),The program data.,2024-01-01,2024-12-31,,,published,"Date: 2025-04-14 11:53:47.539074
A total of 290 Patients were newly enrolled during the reporting period and seventeen (17) patients were diagnosed with TB/HIV during the reporting period. So seventeen patients are newly diagnosed and have TB/HIV four (4) patients were HIV diagnosed during previous years and freshly diagnosed with TB during the reporting period.
We have a total of 21 patients with TB/HIV Co infection.
--------
Date: 2025-03-25 07:49:16.003248
A total of 290 Patients were newly enrolled during the reporting period and seventeen (17) patients were diagnosed with TB/HIV during the reporting period. So seventeen patients are newly diagnosed and have TB/HIV four (4) patients were HIV diagnosed during previous years and freshly diagnosed with TB during the reporting period.
We have a total of 21 patients with TB/HIV Co infection.
--------
Date: 2025-03-23 10:36:15.296127
A total of 290 Patients were newly enrolled during the reporting period and seventeen (17) patients were diagnosed with TB/HIV during the reporting period. So seventeen patients are newly diagnosed and have TB/HIV four (4) patients were HIV diagnosed during previous years and freshly diagnosed with TB during the reporting period.
We have a total of 21 patients with TB/HIV Co infection.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,21,Yes
AUS,Western Pacific,,Asia and the Pacific,Australia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
BGD,South-East Asia,South Asia,Asia and the Pacific,Bangladesh,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),Program Data,2024-01-01,2024-12-31,,,published,,,,90,Yes
BTN,South-East Asia,South Asia,Asia and the Pacific,Bhutan,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),"Care, Support and Treatment Unit",2024-01-01,2024-12-31,,,published,"Date: 2025-05-20 11:09:56.709170
Updated the Data
--------
Date: 2025-05-20 10:58:24.990936
Updated the Data
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Data were reported on the number of people living with HIV with TB who were on ART and had started TB treatment during the reporting period for 2023. Please kindly consult with the National TB Programme and report for the current reporting period, or provide an explanation.

Dechen Wangmo (MINISTRY) said on 20/05/25 at 09:09: @Victoria Bendaud
We have updated the data.

",3,Yes
BRN,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Brunei Darussalam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
KHM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Cambodia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,370,Yes
CHN,Western Pacific,East Asia and the Pacific,Asia and the Pacific,China,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
COK,Western Pacific,,Asia and the Pacific,Cook Islands,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,1,Yes
PRK,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Democratic People's Republic of Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
FJI,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Fiji,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-30 13:22:23.112124
Yes, this is correct as we have more that 2 fold increase in TB/HIV co-infections.
--------
Date: 2025-05-30 13:15:44.436239
Yes, this is correct as we have more that 2 fold increase in TB/HIV co-infections.
--------
Date: 2025-05-30 13:13:31.300914
Yes, this is correct as we have more that 2 fold increase in TB/HIV co-infections.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [105] TB cases among people living with HIV on ART to WHO. Data were reported on the number of people living with HIV with TB who were on ART and had started TB treatment during the reporting period for 2023. Please kindly consult with the National TB Programme and report for the current reporting period, or provide an explanation.

Rachel Devi (MINISTRY) said on 30/05/25 at 11:22: Have entered data extracted from the TB program.

",148,Yes
IND,South-East Asia,South Asia,Asia and the Pacific,India,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,32361,Yes
IDN,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Indonesia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-21 10:17:45.442360
confirmed
--------
Date: 2025-05-16 09:17:38.684955
confirmed
--------
Date: 2025-03-24 08:51:32.441799
confirmed
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Endang Lukitosari (MINISTRY) said on 16/05/25 at 07:17: This is revised to align with the final figure reported by the National TB Programme.

Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: It was reported that [6736] people living with HIV with TB were on ART in 2023, compared to [8960] for 2024. This seems to reflect an important change. The National TB Programme has reported [9569] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [8960]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator

Endang Lukitosari (MINISTRY) said on 21/05/25 at 08:17: On 16 May, we have revised the figure for this indicator to be 9,569 as this is the final number from the NTP.

",9569,Yes
IRN,Eastern Mediterranean,Middle East and North Africa,Asia and the Pacific,Iran (Islamic Republic of),2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Cross-checked with Antiretroviral registry system.,2024-01-01,2024-12-31,,,published,"Date: 2025-04-01 01:23:43.120151
Yes, the change is correct. 
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,93,Yes
JPN,Western Pacific,,Asia and the Pacific,Japan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
KIR,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Kiribati,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Not specified.,2024-01-01,2024-12-31,,,published,,,,0,Yes
LAO,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Lao People's Democratic Republic,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-29 15:01:16.697569
Data from DHIS2
--------
Date: 2025-03-28 14:23:52.422595
Data from DHIS2
--------
Date: 2025-03-22 11:15:41.633593
let check and confirm with NTC
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,255,Yes
MYS,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Malaysia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,"TB is a mandatory notifiable infectious disease in Malaysia. Data was collected from the National Tuberculosis Registry, which is an online registry for all TB patients.",,published,"Date: 2025-05-30 10:04:53.426008
The data had been confirmed and verified by state health departments.
--------
Date: 2025-03-10 04:23:12.489650
The data had been confirmed and verified by state health departments.
--------
Date: 2025-03-05 08:20:44.431570
The data had been confirmed and verified by state health departments.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: It was reported that [360] people living with HIV with TB on ART had started TB treatment in 2023, compared to [473] for 2024. This seems to reflect an important change. Please can you explain the reason for this or consult with the National TB Programme, review the data and revise accordingly.

Dr. Fazidah Yuswan (MINISTRY) said on 30/05/25 at 08:04: In Malaysia, there are established policies for HIV and TB screening that emphasize the integration of screening and management for coinfections. This includes conducting TB screenings for people living with HIV (PLHIV) and testing for HIV in individuals diagnosed with TB. Efforts also target high-risk environments, such as prisons and drug rehabilitation centers, for TB screening initiatives. 

To enhance antiretroviral therapy (ART) coverage, Malaysia is scaling up the use of the drug Dolutegravir (DTG), in line with recommendations from the World Health Organization (WHO). DTG, an antiretroviral medication used to treat HIV, is recommended by WHO as part of both first-line and second-line ART for individuals with HIV, including adults and children. It is preferred due to its effectiveness, tolerability, and strong resistance barrier.

",473,Yes
MDV,South-East Asia,South Asia,Asia and the Pacific,Maldives,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
MHL,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Marshall Islands,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,0,Yes
FSM,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Micronesia (Federated States of),-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
MNG,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Mongolia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,routine data of NCCD,2024-01-01,2024-12-31,,,published,"Date: 2025-03-12 06:57:05.819441
Yes, we have checked.
--------
Date: 2025-02-26 08:15:41.750658
Yes, we have checked.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,2,Yes
MMR,South-East Asia,East Asia and the Pacific,Asia and the Pacific,Myanmar,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,5315,Yes
NRU,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Nauru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
NPL,South-East Asia,South Asia,Asia and the Pacific,Nepal,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,"Information on this indicator is collected through HIV Care and ART Tracking (DHIS2 Tracker, mHealth and Biometric) system.",,published,,,,198,Yes
NZL,Western Pacific,,Asia and the Pacific,New Zealand,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
NIU,,,Asia and the Pacific,Niue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
PAK,Eastern Mediterranean,South Asia,Asia and the Pacific,Pakistan,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Facilities data,2024-01-01,2024-12-31,,,published,,,,665,Yes
PLW,Western Pacific,East Asia and the Pacific,Asia and the Pacific,Palau,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,0,Yes
