IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,UNIT,VALUE
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2020,United Kingdom of Great Britain and Northern Ireland,Tested for RR-TB,Number,1622
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2021,United Kingdom of Great Britain and Northern Ireland,Tested for RR-TB,Number,1812
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2022,United Kingdom of Great Britain and Northern Ireland,Tested for RR-TB,Number,1949
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2023,United Kingdom of Great Britain and Northern Ireland,Tested for RR-TB,Number,2156
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2017,United Republic of Tanzania,Tested for RR-TB,Number,10550
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2018,United Republic of Tanzania,Tested for RR-TB,Number,20290
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2019,United Republic of Tanzania,Tested for RR-TB,Number,22862
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2020,United Republic of Tanzania,Tested for RR-TB,Number,19549
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2021,United Republic of Tanzania,Tested for RR-TB,Number,27704
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2022,United Republic of Tanzania,Tested for RR-TB,Number,27846
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2023,United Republic of Tanzania,Tested for RR-TB,Number,31119
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2017,United States of America,Tested for RR-TB,Number,5427
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2018,United States of America,Tested for RR-TB,Number,5378
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2019,United States of America,Tested for RR-TB,Number,5571
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2020,United States of America,Tested for RR-TB,Number,4559
A1B2C3DE4F5G6H,TB_rr_care_cascade_num,RR-TB cascade of care,2021,United States of America,Tested for RR-TB,Number,5009
