IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,DISAGGR_2,UNIT,VALUE,VALUE_LO,VALUE_HI
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Female,45-54 years,"Rate per 100,000",576.692500743147,298.831568566903,838.825455626396
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Male,45-54 years,"Rate per 100,000",1038.78565956397,519.392829781985,1558.17848934595
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Female,5-14 years,"Rate per 100,000",221.861187160196,114.100039110958,335.961226271154
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Male,5-14 years,"Rate per 100,000",210.977840093264,108.502889190822,319.480729284086
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Female,55-64 years,"Rate per 100,000",315.060780475567,163.364849135479,466.756711815655
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Male,55-64 years,"Rate per 100,000",663.424731147128,325.681231654045,964.981427123095
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Female,65 years and older,"Rate per 100,000",113.022385428939,59.2022018913489,166.842568966529
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic People's Republic of Korea,Male,65 years and older,"Rate per 100,000",315.365508624496,157.682754312248,465.539560350446
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Female,0-4 years,"Rate per 100,000",82.7918620115562,0,204.291607560983
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Male,0-4 years,"Rate per 100,000",98.9373806168905,0,244.683844536396
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Female,15-24 years,"Rate per 100,000",245.848993402028,0,614.622483505069
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Male,15-24 years,"Rate per 100,000",308.854551126238,0,761.841226111388
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Female,25-34 years,"Rate per 100,000",364.445777830064,0,874.669866792153
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Female,15-24 years,"Rate per 100,000",24.3329723942428,0,99.7651868163956
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Male,15-24 years,"Rate per 100,000",50.4320344282688,0,204.129663162041
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Female,25-34 years,"Rate per 100,000",45.7109771102282,0,194.27165271847
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Male,25-34 years,"Rate per 100,000",94.5672978718575,0,378.26919148743
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Female,35-44 years,"Rate per 100,000",88.9516492191713,0,355.806596876685
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Male,35-44 years,"Rate per 100,000",87.9502318954448,0,369.390973960868
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Female,45-54 years,"Rate per 100,000",77.5341326397553,0,324.233645584431
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Male,45-54 years,"Rate per 100,000",138.785706704982,0,555.14282681993
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Male,25-34 years,"Rate per 100,000",577.319343454679,0,1406.29070841524
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Female,35-44 years,"Rate per 100,000",529.429087937069,0,1301.51317451196
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Male,35-44 years,"Rate per 100,000",837.976553868983,0,2038.32134724888
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Female,45-54 years,"Rate per 100,000",632.402647437188,0,1564.36444366041
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Male,45-54 years,"Rate per 100,000",982.340672236772,0,2385.68448971788
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Female,5-14 years,"Rate per 100,000",110.940524646062,0,263.483746034396
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Democratic Republic of the Congo,Male,5-14 years,"Rate per 100,000",110.842425991551,0,263.250761729934
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Female,5-14 years,"Rate per 100,000",16.7283214717535,0,67.7602895058369
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Male,5-14 years,"Rate per 100,000",22.8836760337181,0,93.6150383197557
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Female,55-64 years,"Rate per 100,000",111.446576563798,0,435.654799294847
49EB56ACD22F49,TB_e_inc_agesex_100k,Estimated TB incidence rate by age group and sex per 100 000 population,2023,Eritrea,Male,55-64 years,"Rate per 100,000",148.487285776155,0,593.949143104622
