IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,UNIT,VALUE
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Sierra Leone,Percentage,62.1650305120722
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2021,Singapore,Percentage,0
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Singapore,Percentage,0
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Somalia,Percentage,71.969696969697
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2020,South Africa,Percentage,93.080127176887
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2021,South Africa,Percentage,62.8207650004508
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2022,South Africa,Percentage,61.8116338145921
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,South Africa,Percentage,61.3504009002673
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,South Sudan,Percentage,65.3860831955222
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2020,Sri Lanka,Percentage,14.4736842105263
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2021,Sri Lanka,Percentage,38.7878787878788
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2022,Sri Lanka,Percentage,17.3824130879346
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2021,Sudan,Percentage,37.6786735277301
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2020,Tajikistan,Percentage,93.3597621407334
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2021,Tajikistan,Percentage,91.6577540106952
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2022,Tajikistan,Percentage,90.5660377358491
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Tajikistan,Percentage,84.1397849462366
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Thailand,Percentage,2.50656013786081
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Timor-Leste,Percentage,30.0411522633745
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2020,Trinidad and Tobago,Percentage,0.504201680672269
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2022,Trinidad and Tobago,Percentage,0
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Trinidad and Tobago,Percentage,1.43266475644699
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2020,Tunisia,Percentage,12.3655913978495
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2021,Tunisia,Percentage,1.85185185185185
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2022,Tunisia,Percentage,31.3106796116505
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Tunisia,Percentage,24.8837209302326
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2020,Uganda,Percentage,38.540180041717
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2021,Uganda,Percentage,13.7377479984657
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2022,Uganda,Percentage,8.78304226471834
B24DF7CFCA3187,TB_prevtx_hiv_prct,Percentage of people living with HIV who were started on TB preventive treatment out of those eligible,2023,Uganda,Percentage,6.85594206842336
