IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,UNIT,VALUE,VALUE_LO,VALUE_HI
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2021,Iceland,"Rate per 100,000",0,0,0
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2022,Iceland,"Rate per 100,000",0,0,0.262912279318006
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2023,Iceland,"Rate per 100,000",0,0,0
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2015,India,"Rate per 100,000",10.5419741721,7.07818265841002,13.5539667927
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2016,India,"Rate per 100,000",9.67301992376245,7.36637671117294,11.9052552907846
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2017,India,"Rate per 100,000",8.82575267726983,7.28124595874761,11.0321908465873
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2018,India,"Rate per 100,000",8.72943717058596,6.98354973646877,10.1843433656836
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2019,India,"Rate per 100,000",7.91919360815448,6.69531823234879,10.0789736831057
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2020,India,"Rate per 100,000",7.84247910734513,6.34527855048833,9.2683843995897
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2021,India,"Rate per 100,000",7.77822778596782,6.29329339046487,9.19245101978015
A38EC3D8EFE438A,TB_e_rr_100k,Estimated rifampicin-resistant TB incidence rate per 100 000 population,2022,India,"Rate per 100,000",7.71700633805518,6.03329586429768,9.12009839951975
