state,cases_notified_2023,treated_succ_2023,cases_notified_2024,success_rate_2023_pct
Andaman and Nicobar Islands,488,369,533,75.61
Andhra Pradesh,86033,82215,81804,95.56
Arunachal Pradesh,2606,1948,2939,74.75
Assam,50180,44878,49389,89.43
Bihar,184706,155580,203853,84.23
Chandigarh,3912,3050,4108,77.97
Chhattisgarh,37473,33401,38957,89.13
Dadra and Nagar Haveli and Daman and Diu,822,725,790,88.2
Delhi,82426,64098,90281,77.76
Goa,1823,1376,1973,75.48
Gujarat,133898,122604,129465,91.57
Haryana,75745,66862,83673,88.27
Himachal Pradesh,15399,13577,15621,88.17
Jammu and Kashmir,11382,9808,11964,86.17
Jharkhand,60592,54623,63913,90.15
Karnataka,74493,65094,74135,87.38
Kerala,20558,17117,20214,83.26
Ladakh,328,257,318,78.35
Lakshadweep,13,12,14,92.31
Madhya Pradesh,178884,156839,177525,87.68
Maharashtra,205909,182758,214670,88.76
Manipur,2522,1813,2561,71.89
Meghalaya,4493,3840,4318,85.47
Mizoram,2115,1541,2163,72.86
Nagaland,4192,3278,4009,78.2
Odisha,60766,56259,59483,92.58
Puducherry,1507,1156,1355,76.71
Punjab,56264,46305,60456,82.3
Rajasthan,159302,141911,168059,89.08
Sikkim,1189,973,1169,81.83
Tamil Nadu,92945,82468,91318,88.73
Telengana,72100,66459,74711,92.18
Tripura,3425,2758,3422,80.53
Uttar Pradesh,613851,566490,670590,92.28
Uttarakhand,25674,23113,28382,90.02
West Bengal,97535,84928,97332,87.07
